,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1581,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1582,高级开发工程师,西安,西安·雁塔区·高新软件园,绿盟科技,15-20K,20,15,17.5,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1583,python,西安,西安·雁塔区·高新软件园,中软国际,12-20K,20,12,16.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1584,Python,西安,西安·雁塔区·高新软件园,软通动力信息技术集团,12-24K,24,12,18.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1585,运营开发工程师（腾讯云全资子公司）,西安,西安·雁塔区·高新软件园,腾讯,12-22K·16薪,22,12,17.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1586,python,西安,西安·长安区·高新软件园,华为,13-26K,26,13,19.5,硕士,计算机软件,在校/应届,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1587,Python,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1588,Python/java后台开发工程师,西安,西安·雁塔区·绿地世纪城,中国移动研究院,20-30K,30,20,25.0,硕士,数据服务,3-5年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
1589,Python,西安,西安,润联科技,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/7864481027af7b4c0H193dq8EQ~~.html
1590,python,西安,西安·雁塔区·高新软件园,中软国际,11-20K,20,11,15.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1591,Python开发工程师,西安,西安·雁塔区·高新软件园,绿盟科技,13-20K·14薪,20,13,16.5,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1592,腾讯云后台开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1593,Python开发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·14薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1594,Python,西安,西安·长安区·王寺,软通动力信息技术集团,12-24K,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1595,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,12-24K,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1597,Python开发,西安,西安·雁塔区·高新软件园,中软国际,9-14K,14,9,11.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1598,Python开发工程师（腾讯云全资子公司）,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1599,Python开发,西安,西安·长安区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1600,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1601,python 开发,西安,西安·长安区·王寺,软通动力信息技术集团,11-20K,20,11,15.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1602,python实习生,西安,西安·雁塔区·高新软件园,绿盟科技,2-4K,4,2,3.0,本科,信息安全,经验不限,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1603,Python工程师,西安,西安·雁塔区·高新软件园,中软国际,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1604,腾讯云计算研发,西安,西安·雁塔区·枫林绿洲,腾讯,30-60K·16薪,60,30,45.0,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1605,python开发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1606,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,14-28K·14薪,28,14,21.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1607,Python开发-双休/五险一金/奖金,西安,西安·未央区·三桥,软通动力信息技术集团,11-20K,20,11,15.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1609,Python开发,西安,西安,中软国际,10-15K,15,10,12.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1610,Python开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1611,python开发工程师,西安,西安·雁塔区·高新软件园,华为,30-50K·16薪,50,30,40.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1612,Python软件开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,14-28K·14薪,28,14,21.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1613,python开发,西安,西安·长安区·王寺,软通动力信息技术集团,13-18K,18,13,15.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1614,Python开发工程师,西安,西安·雁塔区·高新软件园,绿盟科技,10-15K·14薪,15,10,12.5,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1615,Python,西安,西安·雁塔区·高新软件园,中软国际,10-15K·13薪,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1616,腾讯云网络后台开发工程师(西安),西安,西安·雁塔区·枫林绿洲,腾讯,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1617,python开发工程师,西安,西安·雁塔区·高新软件园,华为,13-26K,26,13,19.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1618,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,13-25K,25,13,19.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1619,python开发,西安,西安,软通动力信息技术集团,12-17K,17,12,14.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1620,后台开发实习生,西安,西安·雁塔区·高新软件园,绿盟科技,2-4K,4,2,3.0,硕士,信息安全,经验不限,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1621,python开发,西安,西安·雁塔区·高新软件园,中软国际,10-14K,14,10,12.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1622,云存储研发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,16-30K·16薪,30,16,23.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1623,Python开发工程师,西安,西安·雁塔区·绿地世纪城,华为,15-30K,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1624,python开发工程师（线上面试）,西安,西安·雁塔区·高新软件园,软通动力信息技术集团,12-20K,20,12,16.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1625,python开发,西安,西安,华为技术有限公司,12-20K,20,12,16.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1626,Python开发工程师,西安,西安·雁塔区·高新软件园,中软国际,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
1628,腾讯云运营开发工程师,西安,西安·雁塔区·电子城,腾讯,14-28K·16薪,28,14,21.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1629,Python软件开发工程师-华为OD,西安,西安·雁塔区·高新软件园,华为,12-24K·14薪,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1630,python,西安,西安·雁塔区·高新软件园,软通动力信息技术集团,11-20K,20,11,15.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1631,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,13-26K,26,13,19.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1633,腾讯云网络后台后台开发工程师,西安,西安·雁塔区·电子城,腾讯,14-28K·15薪,28,14,21.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1634,Python高级工程师,西安,西安·雁塔区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1635,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1636,Python开发,西安,西安·雁塔区·高新软件园,软通动力信息技术集团,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1637,后端开发高级工程师,西安,西安,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1638,Python软件开发工程师,西安,西安·长安区·高新软件园,华为,14-28K·14薪,28,14,21.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1639,Python,西安,西安·雁塔区·丈八,绿盟科技,10-14K·14薪,14,10,12.0,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1640,云计算软件开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1641,Python开发工程师,西安,西安·长安区·王寺,软通动力信息技术集团,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1642,腾讯云—计费后台开发（CSIG全资子公司）,西安,西安·雁塔区·绿地世纪城,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1643,软件开发工程师,西安,西安·雁塔区·高新软件园,华为,11-22K,22,11,16.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1644,Python,西安,西安·雁塔区·高新软件园,华为技术有限公司,12-24K·13薪,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1645,Python开发,西安,西安·雁塔区·高新软件园,软通动力信息技术集团,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1646,腾讯云网络后台开发工程师(西安),西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1647,Python软件开发工程师,西安,西安·雁塔区·高新软件园,华为,20-40K·16薪,40,20,30.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1648,后台开发工程师,西安,西安·雁塔区·高新软件园,绿盟科技,15-25K,25,15,20.0,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/56fcc3e5c3f3939d1Xd929q4.html
1649,Python岗位：,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·13薪,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1650,Python开发工程师,西安,西安,软通动力信息技术集团,10-11K,11,10,10.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1651,云计算后台开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1652,Python,西安,西安·雁塔区·高新软件园,华为,12-24K·13薪,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1653,Python开发工程师,西安,西安·长安区·王寺,软通动力信息技术集团,10-15K,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1654,Python,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1655,python开发工程师,西安,西安,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1656,Python,西安,西安·长安区·高新软件园,华为技术有限公司,10-15K,15,10,12.5,本科,计算机软件,1年以内,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1657,Python,西安,西安·未央区·王寺,软通动力信息技术集团,9-14K,14,9,11.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html
1658,SDN网络开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1659,python开发工程师,西安,西安·长安区·高新软件园,华为,13-25K,25,13,19.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1660,腾讯云python开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,13-26K·15薪,26,13,19.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1661,Python开发工程师,西安,西安·长安区·高新软件园,华为,14-28K·14薪,28,14,21.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1662,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,12-24K,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1663,Python,西安,西安·雁塔区·电子城,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1664,Python研发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1665,云计算开发工程师,西安,西安·长安区,华为技术有限公司,12-24K,24,12,18.0,本科,计算机软件,在校/应届,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1666,Python开发工程师,西安,西安·长安区·高新软件园,华为,12-24K,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1667,云存储研发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1668,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1669,华为云Python开发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1670,云计算后台开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,20-40K·18薪,40,20,30.0,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1671,Python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1672,高级Python开发工程师,西安,西安,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1673,网络后台开发工程师,西安,西安·雁塔区·电子城,腾讯,15-25K·15薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1674,华为德科python工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1675,Python开发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1676,DevOps工具平台开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1677,python开发工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,13-26K,26,13,19.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1678,Python,西安,西安·长安区·高新软件园,华为,14-24K,24,14,19.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1679,31504-腾讯云容器运营开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1680,Python工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1681,软件工程师,西安,西安·长安区·高新软件园,华为,15-25K,25,15,20.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1682,云计算开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,25-50K·16薪,50,25,37.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1683,Python,西安,西安·雁塔区·丈八,华为技术有限公司,20-25K,25,20,22.5,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1684,云计算python开发工程师,西安,西安·雁塔区·高新软件园,华为,12-24K·16薪,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1685,云计算开发工程师,西安,西安,腾讯,20-40K·16薪,40,20,30.0,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1686,python开发，自动化,西安,西安·大朗镇·松山湖,华为技术有限公司,15-25K,25,15,20.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1687,Python,西安,西安·雁塔区·高新软件园,华为,12-24K,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1688,Python,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1689,OD软件工程师,西安,西安·雁塔区·高新软件园,华为技术有限公司,14-25K·13薪,25,14,19.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
1690,python算法工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·14薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1691,开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1692,软件开发工程师,西安,西安·雁塔区·高新软件园,华为,12-24K,24,12,18.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1693,腾讯云运营开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1694,AI平台Python软件开发工程师,西安,西安·长安区·高新软件园,华为,15-25K,25,15,20.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1695,腾讯云后端开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-20K·16薪,20,15,17.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1696,Python,西安,西安·雁塔区·高新软件园,华为,15-16K,16,15,15.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1697,腾讯云开发工程师(前端后端测试),西安,西安·雁塔区·枫林绿洲,腾讯,15-20K·16薪,20,15,17.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1698,Python,西安,西安·雁塔区·高新软件园,华为,15-16K,16,15,15.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1699,腾讯云运营开发工程师（CSIG全资子公司）,西安,西安·雁塔区·枫林绿洲,腾讯,15-30K,30,15,22.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1700,Python开发工程师,西安,西安·雁塔区·高新软件园,华为,12-20K,20,12,16.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1701,22989-腾讯云网络后台开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1702,python开发,西安,西安·雁塔区·高新软件园,华为,12-20K,20,12,16.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1703,31504-腾讯云运营开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1704,Python,西安,西安·雁塔区·高新软件园,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1705,Python开发工程师,西安,西安·雁塔区·电子城,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1706,软件开发,西安,西安·雁塔区·高新软件园,华为,12-20K,20,12,16.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1707,Python研发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1708,专有云运营开发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,11-22K·15薪,22,11,16.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1709,云计算开发工程师,西安,西安·雁塔区·高新软件园,华为,15-30K·16薪,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1710,云网络后台开发工程师(腾讯云全资子公司),西安,西安·雁塔区·电子城,腾讯,15-30K,30,15,22.5,大专,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1711,Python开发工程师,西安,西安·雁塔区·高新软件园,华为,12-24K,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1712,SDN/NFV网络研发工程师,西安,西安·雁塔区·电子城,腾讯,20-40K,40,20,30.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1713,云数据库开发岗,西安,西安·长安区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1714,腾讯云后台开发工程师（西安子公司）,西安,西安·雁塔区·枫林绿洲,腾讯,18-35K,35,18,26.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1715,Python开发工程师-OD,西安,西安·雁塔区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1716,腾讯云API高级研发工程师,西安,西安·雁塔区·枫林绿洲,腾讯,25-40K·16薪,40,25,32.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1717,Python开发工程师-OD,西安,西安·雁塔区·高新软件园,华为,15-30K,30,15,22.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1718,运营开发高级工程师,西安,西安·雁塔区·枫林绿洲,腾讯,14-28K·16薪,28,14,21.0,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1719,python开发工程师,西安,西安·雁塔区·高新软件园,华为,15-20K,20,15,17.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1720,Python后台开发工程师,西安,西安·雁塔区·电子城,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1721,python软件工程师,西安,西安·雁塔区·高新软件园,华为,13-24K,24,13,18.5,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1722,裸金属物理服务器研发工程师,西安,西安·雁塔区·电子城,腾讯,15-30K·16薪,30,15,22.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1723,Python开发,西安,西安·雁塔区·高新软件园,华为,14-28K·14薪,28,14,21.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
1724,运营开发,西安,西安·雁塔区·枫林绿洲,腾讯,15-25K·16薪,25,15,20.0,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
1725,云计算研发工程师,西安,西安·长安区·高新软件园,华为,10-11K,11,10,10.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
